task_id,source,category,model,strategy,run_number,passed,error_type,input_tokens,output_tokens,retrieval_latency_ms,llm_latency_ms,total_latency_ms,estimated_cost_usd,execution_time_s,few_shot_ids,rag_doc_ids,error_msg
humaneval_1,HumanEval,B_gap,openai/gpt-oss-20b,S0,1,True,,229,368,0.0,2336.99,2336.99,6.25e-05,0.0889,[],[],
humaneval_10,HumanEval,B_gap,openai/gpt-oss-20b,S0,1,True,,254,939,0.0,1355.07,1355.07,0.000133,0.0693,[],[],
humaneval_33,HumanEval,B_gap,openai/gpt-oss-20b,S0,1,True,,267,430,0.0,861.93,861.93,7.3e-05,0.0627,[],[],
humaneval_38,HumanEval,B_gap,openai/gpt-oss-20b,S0,1,False,runtime_error,273,265,0.0,670.17,670.17,5.36e-05,0.1129,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpwggf34bc.py"", line 22, in <module>
    check(decode_cyclic)
    ~~~~~^^^^^^^^^^^^^^^
  File ""C:\Users\dell\AppData\Local\"
humaneval_40,HumanEval,B_gap,openai/gpt-oss-20b,S0,1,True,,273,438,0.0,853.1,853.1,7.44e-05,0.0613,[],[],
humaneval_41,HumanEval,B_gap,openai/gpt-oss-20b,S0,1,True,,263,533,0.0,1312.14,1312.14,8.5e-05,0.0478,[],[],
humaneval_9,HumanEval,B_gap,openai/gpt-oss-20b,S0,1,True,,214,229,0.0,575.56,575.56,4.46e-05,0.0735,[],[],
mbpp_11,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,151,323,0.0,637.43,637.43,5.08e-05,0.0727,[],[],
mbpp_14,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,147,164,0.0,498.16,498.16,3.14e-05,0.0601,[],[],
mbpp_16,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,159,274,0.0,659.31,659.31,4.56e-05,0.0659,[],[],
mbpp_61,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,154,760,0.0,1232.58,1232.58,0.0001035,0.06,[],[],
mbpp_620,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,155,358,0.0,748.46,748.46,5.54e-05,0.0459,[],[],
mbpp_627,MBPP,B_gap,openai/gpt-oss-20b,S0,1,False,assertion_error,152,364,0.0,842.23,842.23,5.58e-05,0.0832,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpjf4xxlpl.py"", line 17, in <module>
    assert find_First_Missing([2,3,5,8,9]) == 0
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^"
mbpp_63,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,149,386,0.0,837.83,837.83,5.82e-05,0.0579,[],[],
mbpp_635,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,141,297,0.0,716.75,716.75,4.69e-05,0.0617,[],[],
mbpp_641,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,144,269,0.0,725.9,725.9,4.38e-05,0.0573,[],[],
mbpp_72,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,155,488,0.0,884.88,884.88,7.1e-05,0.0465,[],[],
mbpp_734,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,175,339,0.0,704.13,704.13,5.47e-05,0.0632,[],[],
mbpp_745,MBPP,B_gap,openai/gpt-oss-20b,S0,1,True,,182,404,0.0,4158.77,4158.77,6.3e-05,0.0645,[],[],
mbpp_747,MBPP,B_gap,openai/gpt-oss-20b,S0,1,False,assertion_error,170,676,0.0,2382.08,2382.08,9.47e-05,0.097,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpdf0sezku.py"", line 33, in <module>
    assert lcs_of_three('AGGT12', '12TXAYB', '12XBA') == 2
           ^^^^^^^^^^^^^^^^"
humaneval_20,HumanEval,C_borderline,openai/gpt-oss-20b,S0,1,True,,282,416,0.0,7879.51,7879.51,7.25e-05,0.0873,[],[],
mbpp_608,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,142,440,0.0,3698.97,3698.97,6.42e-05,0.0664,[],[],
mbpp_612,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,177,283,0.0,3835.58,3835.58,4.81e-05,0.0658,[],[],
mbpp_614,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,155,382,0.0,1934.69,1934.69,5.82e-05,0.0613,[],[],
mbpp_637,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,False,runtime_error,152,340,0.0,2762.21,2762.21,5.3e-05,0.1046,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmprcuwx1t2.py"", line 5, in <module>
    assert noprofit_noloss(1500,1200)==False
           ~~~~~~~~~~~~~~~^^^^^^^^^^^
Type"
mbpp_644,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,False,assertion_error,148,253,0.0,4714.77,4714.77,4.22e-05,0.087,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpusujuh1j.py"", line 11, in <module>
    assert reverse_Array_Upto_K([1, 2, 3, 4, 5, 6],4) == [4, 3, 2, 1, 5, 6]
          "
mbpp_67,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,149,438,0.0,1885.79,1885.79,6.45e-05,0.0666,[],[],
mbpp_722,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,186,213,0.0,4685.37,4685.37,4.04e-05,0.0718,[],[],
mbpp_723,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,159,135,0.0,516.67,516.67,2.89e-05,0.0619,[],[],
mbpp_726,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,183,186,0.0,4525.7,4525.7,3.7e-05,0.0568,[],[],
mbpp_739,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,False,runtime_error,169,1024,0.0,1716.1,1716.1,0.0001364,0.1021,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpd2m81ery.py"", line 4, in <module>
    assert find_Index(2) == 4
           ^^^^^^^^^^
NameError: name 'find_Index' is not"
mbpp_741,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,150,135,0.0,9627.68,9627.68,2.82e-05,0.0541,[],[],
