task_id,source,model,strategy,run_number,passed,error_type,input_tokens,output_tokens,latency_ms,estimated_cost_usd,execution_time_s,error_msg
mbpp_602,MBPP,openai/gpt-oss-20b,S0,1,True,,141,218,687.92,3.74e-05,0.0495,
mbpp_603,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,143,512,958.53,7.29e-05,0.0741,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp6gm_st96.py"", line 4, in <module>
    assert get_ludic(10) == [1, 2, 3, 5, 7]
           ^^^^^^^^^
NameError: name 'get_l"
mbpp_604,MBPP,openai/gpt-oss-20b,S0,1,True,,139,141,539.54,2.8e-05,0.0436,
mbpp_605,MBPP,openai/gpt-oss-20b,S0,1,True,,138,176,554.76,3.22e-05,0.0527,
mbpp_606,MBPP,openai/gpt-oss-20b,S0,1,True,,134,130,471.19,2.63e-05,0.0561,
mbpp_607,MBPP,openai/gpt-oss-20b,S0,1,True,,153,214,593.96,3.79e-05,0.0628,
mbpp_608,MBPP,openai/gpt-oss-20b,S0,1,True,,134,285,635.37,4.49e-05,0.06,
mbpp_610,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,151,301,740.69,4.82e-05,0.0901,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp9o__lusa.py"", line 15, in <module>
    assert remove_kth_element([1,1,2,3,4,4,5,1],3)==[1, 1, 3, 4, 4, 5, 1]
           ^"
mbpp_611,MBPP,openai/gpt-oss-20b,S0,1,True,,148,269,602.68,4.41e-05,0.063,
mbpp_612,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,169,184,465.51,3.56e-05,0.0745,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp0k9wjyn2.py"", line 12, in <module>
    assert merge([['x', 'y','z' ], ['a', 'b','c'], ['m', 'n','o']]) == [['x', 'a', 'm'"
mbpp_614,MBPP,openai/gpt-oss-20b,S0,1,True,,147,219,625.47,3.8e-05,0.0593,
mbpp_615,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,145,153,636.52,3e-05,0.0928,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpvx89b9b3.py"", line 5, in <module>
    assert average_tuple(((10, 10, 10, 12), (30, 45, 56, 45), (81, 80, 39, 32), (1, 2, "
mbpp_616,MBPP,openai/gpt-oss-20b,S0,1,True,,143,123,493.83,2.62e-05,0.0566,
mbpp_617,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,160,512,896.42,7.42e-05,0.09,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp5d0ljh68.py"", line 4, in <module>
    assert min_Jumps((3,4),11)==3.5
           ^^^^^^^^^
NameError: name 'min_Jumps' is"
mbpp_618,MBPP,openai/gpt-oss-20b,S0,1,True,,134,245,586.86,4.01e-05,0.0713,
mbpp_619,MBPP,openai/gpt-oss-20b,S0,1,True,,140,321,734.23,4.97e-05,0.0575,
mbpp_620,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,147,512,902.09,7.32e-05,0.0875,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp91rvmgl8.py"", line 4, in <module>
    assert largest_subset([ 1, 3, 6, 13, 17, 18 ]) == 4
           ^^^^^^^^^^^^^^
NameE"
mbpp_622,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,140,400,587.9,5.92e-05,0.0859,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp1t90mul7.py"", line 27, in <module>
    assert get_median([1, 12, 15, 26, 38], [2, 13, 17, 30, 45], 5) == 16.0
           "
mbpp_623,MBPP,openai/gpt-oss-20b,S0,1,True,,140,102,442.94,2.34e-05,0.0629,
mbpp_624,MBPP,openai/gpt-oss-20b,S0,1,True,,136,117,519.13,2.49e-05,0.0728,
mbpp_625,MBPP,openai/gpt-oss-20b,S0,1,True,,140,221,560.15,3.77e-05,0.0673,
mbpp_626,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,150,512,967.47,7.34e-05,0.0894,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpgmbrtgac.py"", line 4, in <module>
    assert triangle_area(-1) == None
           ^^^^^^^^^^^^^
NameError: name 'triangle"
mbpp_627,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,144,417,920.52,6.16e-05,0.0939,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp2zafictj.py"", line 18, in <module>
    assert find_First_Missing([0,1,2,3]) == 4
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"
mbpp_628,MBPP,openai/gpt-oss-20b,S0,1,True,,139,233,575.37,3.91e-05,0.0543,
mbpp_629,MBPP,openai/gpt-oss-20b,S0,1,True,,137,153,485.8,2.93e-05,0.0545,
mbpp_630,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,139,338,747.58,5.17e-05,0.0969,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpm1haups6.py"", line 9, in <module>
    assert get_coordinates((3, 4)) == [[2, 3], [2, 4], [2, 5], [3, 3], [3, 4], [3, 5], "
mbpp_631,MBPP,openai/gpt-oss-20b,S0,1,True,,142,303,670.2,4.77e-05,0.0604,
mbpp_632,MBPP,openai/gpt-oss-20b,S0,1,True,,141,254,716.6,4.18e-05,0.0605,
mbpp_633,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,147,310,1801.28,4.9e-05,0.0893,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpfcu6rqaj.py"", line 21, in <module>
    assert pair_xor_Sum([5,9,7,6],4) == 47
           ~~~~~~~~~~~~^^^^^^^^^^^^^
TypeEr"
mbpp_635,MBPP,openai/gpt-oss-20b,S0,1,True,,133,456,2911.07,6.54e-05,0.0594,
mbpp_637,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,144,512,4204.34,7.3e-05,0.0894,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpwy4lcch4.py"", line 4, in <module>
    assert noprofit_noloss(1500,1200)==False
           ^^^^^^^^^^^^^^^
NameError: name"
mbpp_638,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,153,512,4968.75,7.37e-05,0.0814,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp6tqw41r3.py"", line 4, in <module>
    assert wind_chill(120,35)==40
           ^^^^^^^^^^
NameError: name 'wind_chill' is"
mbpp_639,MBPP,openai/gpt-oss-20b,S0,1,True,,152,357,3901.69,5.5e-05,0.0446,
mbpp_640,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,143,370,3838.15,5.58e-05,0.0971,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpy7x8yasn.py"", line 25, in <module>
    assert remove_parenthesis([""python (chrome)""])==(""python"")
           ^^^^^^^^^^^^"
mbpp_641,MBPP,openai/gpt-oss-20b,S0,1,False,syntax_error,136,512,3089.74,7.23e-05,0.0879,"File ""C:\Users\dell\AppData\Local\Temp\tmpxisde2a1.py"", line 4
    return (7
           ^
SyntaxError: '(' was never closed"
mbpp_643,MBPP,openai/gpt-oss-20b,S0,1,True,,149,450,3707.62,6.59e-05,0.0575,
mbpp_644,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,140,370,4872.9,5.56e-05,0.1193,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp9cg3xgwj.py"", line 27, in <module>
    assert reverse_Array_Upto_K([1, 2, 3, 4, 5, 6],4) == [4, 3, 2, 1, 5, 6]
          "
mbpp_720,MBPP,openai/gpt-oss-20b,S0,1,True,,144,149,2554.87,2.94e-05,0.0743,
mbpp_721,MBPP,openai/gpt-oss-20b,S0,1,True,,212,415,2849.6,6.68e-05,0.0464,
mbpp_722,MBPP,openai/gpt-oss-20b,S0,1,True,,178,315,3574.47,5.2e-05,0.0706,
mbpp_723,MBPP,openai/gpt-oss-20b,S0,1,True,,151,139,2556.01,2.88e-05,0.0678,
mbpp_724,MBPP,openai/gpt-oss-20b,S0,1,True,,150,112,2372.03,2.54e-05,0.0621,
mbpp_725,MBPP,openai/gpt-oss-20b,S0,1,True,,141,109,1514.85,2.44e-05,0.0728,
mbpp_726,MBPP,openai/gpt-oss-20b,S0,1,True,,175,149,1578.06,3.19e-05,0.0487,
mbpp_728,MBPP,openai/gpt-oss-20b,S0,1,True,,166,75,1605.61,2.23e-05,0.06,
mbpp_730,MBPP,openai/gpt-oss-20b,S0,1,True,,137,208,1899.76,3.59e-05,0.0645,
mbpp_731,MBPP,openai/gpt-oss-20b,S0,1,True,,147,124,1311.4,2.66e-05,0.053,
mbpp_732,MBPP,openai/gpt-oss-20b,S0,1,True,,143,186,1629.82,3.38e-05,0.06,
mbpp_733,MBPP,openai/gpt-oss-20b,S0,1,True,,146,235,2716.27,3.99e-05,0.0703,
mbpp_734,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,167,512,2088.38,7.48e-05,0.094,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpoc2shqfe.py"", line 4, in <module>
    assert sum_Of_Subarray_Prod([1,2,3]) == 20
           ^^^^^^^^^^^^^^^^^^^^
NameErro"
mbpp_735,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,163,512,5033.27,7.45e-05,0.108,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpi2x9gctr.py"", line 4, in <module>
    assert toggle_middle_bits(9) == 15
           ^^^^^^^^^^^^^^^^^^
NameError: name 't"
mbpp_736,MBPP,openai/gpt-oss-20b,S0,1,True,,169,356,3771.26,5.62e-05,0.0736,
mbpp_737,MBPP,openai/gpt-oss-20b,S0,1,True,,143,161,3570.87,3.08e-05,0.0732,
mbpp_738,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,164,425,1898.86,6.41e-05,0.0761,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmphur401cd.py"", line 10, in <module>
    assert geometric_sum(7) == 1.9921875
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Asse"
mbpp_739,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,161,512,3940.19,7.43e-05,0.0959,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp4unc7t56.py"", line 4, in <module>
    assert find_Index(2) == 4
           ^^^^^^^^^^
NameError: name 'find_Index' is not"
